#datetime;z_new_flow_RS
20190727T120159;1.4327
20190727T120259;1.4327
20190727T120359;1.4326
20190727T120459;1.4326
20190727T120559;1.4326
20190727T120659;1.4326
20190727T120759;1.4325
20190727T120859;1.4325
20190727T120959;1.4324
20190727T121059;1.4324
20190727T121159;1.4323
20190727T121259;1.4323
20190727T121359;1.4322
20190727T121459;1.4322
20190727T121559;1.4321
20190727T121659;1.432
20190727T121759;1.432
20190727T121859;1.4319
20190727T121959;1.4318
20190727T122059;1.4317
20190727T122159;1.4317
20190727T122259;1.4316
20190727T122359;1.4315
20190727T122459;1.4314
20190727T122559;1.4313
20190727T122659;1.4312
20190727T122759;1.4312
20190727T122859;1.4311
20190727T122959;1.431
20190727T123059;1.4309
20190727T123159;1.4308
20190727T123259;1.4307
20190727T123359;1.4306
20190727T123459;1.4305
20190727T123559;1.4305
20190727T123659;1.4304
20190727T123759;1.4303
20190727T123859;1.4302
20190727T123959;1.4301
20190727T124059;1.43
20190727T124159;1.4299
20190727T124259;1.4298
20190727T124359;1.4297
20190727T124459;1.4296
20190727T124559;1.4295
20190727T124659;1.4295
20190727T124759;1.4294
20190727T124859;1.4293
20190727T124959;1.4292
20190727T125059;1.4291
20190727T125159;1.429
20190727T125259;1.4288
20190727T125359;1.4286
20190727T125459;1.4283
20190727T125559;1.4281
20190727T125659;1.4279
20190727T125759;1.4277
20190727T125859;1.4275
20190727T125959;1.4273
20190727T130059;1.4271
20190727T130159;1.427
20190727T130259;1.4268
20190727T130359;1.4266
20190727T130459;1.4264
20190727T130559;1.4263
20190727T130659;1.4261
20190727T130759;1.4259
20190727T130859;1.4258
20190727T130959;1.4256
20190727T131059;1.4255
20190727T131159;1.4253
20190727T131259;1.4252
20190727T131359;1.425
20190727T131459;1.4249
20190727T131559;1.4248
20190727T131659;1.4246
20190727T131759;1.4245
20190727T131859;1.4244
20190727T131959;1.4242
20190727T132059;1.4241
20190727T132159;1.424
20190727T132259;1.4238
20190727T132359;1.4237
20190727T132459;1.4236
20190727T132559;1.4235
20190727T132659;1.4234
20190727T132759;1.4232
20190727T132859;1.4231
20190727T132959;1.423
20190727T133059;1.4229
20190727T133159;1.4228
20190727T133259;1.4227
20190727T133359;1.4226
20190727T133459;1.4225
20190727T133559;1.4224
20190727T133659;1.4223
20190727T133759;1.4221
20190727T133859;1.422
20190727T133959;1.4219
20190727T134059;1.4218
20190727T134159;1.4217
20190727T134259;1.4216
20190727T134359;1.4216
20190727T134459;1.4215
20190727T134559;1.4214
20190727T134659;1.4213
20190727T134759;1.4212
20190727T134859;1.4211
20190727T134959;1.421
20190727T135059;1.4209
20190727T135159;1.4208
20190727T135259;1.4207
20190727T135359;1.4206
20190727T135459;1.4205
20190727T135559;1.4205
20190727T135659;1.4204
20190727T135759;1.4203
20190727T135859;1.4202
20190727T135959;1.4201
20190727T140059;1.42
20190727T140159;1.4199
20190727T140259;1.4199
20190727T140359;1.4198
20190727T140459;1.4197
20190727T140559;1.4196
20190727T140659;1.4195
20190727T140759;1.4195
20190727T140859;1.4194
20190727T140959;1.4193
20190727T141059;1.4192
20190727T141159;1.4192
20190727T141259;1.4191
20190727T141359;1.419
20190727T141459;1.4189
20190727T141559;1.4189
20190727T141659;1.4188
20190727T141759;1.4187
20190727T141859;1.4186
20190727T141959;1.4186
20190727T142059;1.4185
20190727T142159;1.4184
20190727T142259;1.4184
20190727T142359;1.4183
20190727T142459;1.4182
20190727T142559;1.4181
20190727T142659;1.4181
20190727T142759;1.418
20190727T142859;1.4179
20190727T142959;1.4179
20190727T143059;1.4178
20190727T143159;1.4177
20190727T143259;1.4177
20190727T143359;1.4176
20190727T143459;1.4175
20190727T143559;1.4173
20190727T143659;1.4172
20190727T143759;1.417
20190727T143859;1.4168
20190727T143959;1.4166
20190727T144059;1.4164
20190727T144159;1.4163
20190727T144259;1.4161
20190727T144359;1.4159
20190727T144459;1.4158
20190727T144559;1.4156
20190727T144659;1.4155
20190727T144759;1.4153
20190727T144859;1.4152
20190727T144959;1.4151
20190727T145059;1.4149
20190727T145159;1.4148
20190727T145259;1.4147
20190727T145359;1.4145
20190727T145459;1.4144
20190727T145559;1.4143
20190727T145659;1.4142
20190727T145759;1.414
20190727T145859;1.4139
20190727T145959;1.4138
20190727T150059;1.4137
20190727T150159;1.4136
20190727T150259;1.4135
20190727T150359;1.4134
20190727T150459;1.4133
20190727T150559;1.4132
20190727T150659;1.4131
20190727T150759;1.413
20190727T150859;1.4129
20190727T150959;1.4128
20190727T151059;1.4127
20190727T151159;1.4126
20190727T151259;1.4125
20190727T151359;1.4124
20190727T151459;1.4123
20190727T151559;1.4123
20190727T151659;1.4122
20190727T151759;1.4121
20190727T151859;1.412
20190727T151959;1.4119
20190727T152059;1.4118
20190727T152159;1.4118
20190727T152259;1.4117
20190727T152359;1.4116
20190727T152459;1.4115
20190727T152559;1.4115
20190727T152659;1.4114
20190727T152759;1.4113
20190727T152859;1.4112
20190727T152959;1.4112
20190727T153059;1.4111
20190727T153159;1.411
20190727T153259;1.411
20190727T153359;1.4109
20190727T153459;1.4108
20190727T153559;1.4108
20190727T153659;1.4107
20190727T153759;1.4106
20190727T153859;1.4106
20190727T153959;1.4105
20190727T154059;1.4104
20190727T154159;1.4104
20190727T154259;1.4103
20190727T154359;1.4102
20190727T154459;1.4102
20190727T154559;1.4101
20190727T154659;1.4101
20190727T154759;1.41
20190727T154859;1.4099
20190727T154959;1.4099
20190727T155059;1.4098
20190727T155159;1.4098
20190727T155259;1.4097
20190727T155359;1.4096
20190727T155459;1.4096
20190727T155559;1.4095
20190727T155659;1.4095
20190727T155759;1.4094
20190727T155859;1.4094
20190727T155959;1.4093
20190727T160059;1.4093
20190727T160159;1.4092
20190727T160259;1.4091
20190727T160359;1.4091
20190727T160459;1.409
20190727T160559;1.409
20190727T160659;1.4089
20190727T160759;1.4089
20190727T160859;1.4088
20190727T160959;1.4088
20190727T161059;1.4087
20190727T161159;1.4087
20190727T161259;1.4086
20190727T161359;1.4086
20190727T161459;1.4085
20190727T161559;1.4085
20190727T161659;1.4084
20190727T161759;1.4084
20190727T161859;1.4082
20190727T161959;1.408
20190727T162059;1.4079
20190727T162159;1.4077
20190727T162259;1.4076
20190727T162359;1.4074
